park_id|park_name|address
39|Big Walnut Creek Nature Preserve|9221 E US 290 Hwy EB, Austin, Texas 78724
40|Blowing Sink Research Management Area|3705 Deer Ln., Austin, Texas, 78749
41|Blunn Creek Greenbelt|1901 East Side Dr., Austin, Texas 78704
42|Blunn Creek Nature Preserve|1200 St. Edwards Dr., Austin, Texas 78704
43|Boggy Creek Greenbelt|1114 Nile St., Austin, Texas, 78702
44|Bolm District Park|6700 Bolm Rd., Austin, Texas 78725
45|Brentwood Neighborhood Park|6710 Arroyo Seco, Austin, Texas 78757
46|Brownie Neighborhood Park|10000 Brownie Dr., Austin, Texas 78753
47|Brush Square (O Henry Museum)|409 E 5th St., Austin, Texas 78701
48|Brush Square Triangle|4621 Lake Vw., Austin, Texas 78731
49|Brushy Creek Greenbelt|16533 Along Creek Cv. Austin, Texas 78717
50|Bull Creek District Park|6701 Lakewood Dr., Austin, Texas 78731
51|Burnett "Blondie" Pharr Tennis Center|4201 Brookview Rd. Austin, Texas 78722
52|Butler Pitch and Putt at Town Lake Metro Park|201 Lee Barton Dr., Austin, Texas 78704
53|Buttermilk Branch Greenbelt|7501 Bethune Ave., Austin, Texas, 78752
54|Buttermilk Neighborhood Park|7500 Blessing Ave., Austin, Texas 78752
55|Caldwell Treaty Oak Park|507 Baylor St., Austin, Texas 78703
56|Canyon Vista Pool|8455 Spicewood Springs Rd., Austin, Texas 78750
57|Caswell Tennis Center|2312 Shoal Creek Blvd., Austin, Texas 78705
58|Central Maintenance Complex at Town Lake Metropolitan Park|2525 S Lakeshore Blvd., Austin, Texas 78741
59|Cherry Creek Neighborhood Park|3403 Silk Oak Dr., Austin, Texas 78748
60|Cherrywood Pocket Park|1600 W 34th St., Austin, Texas 78722
61|Chestnut Pocket Park|2207 E 16th St., Austin, Texas 78702
62|Circle C Ranch on Slaughter Creek|6301 W Slaughter Ln., Austin, Texas 78739
63|Circle C Ranch on Slaughter Creek Easement 1*|9401 1/2 S Mopac Expy NB, Austin, Texas 78749
64|Circle C Ranch on Slaughter Creek Easement 2*|9401 1/2 S Mopac Expy NB, Austin, Texas 78749
65|City of Austin/YMCA North Austin Community Recreation Center|1000 W Rundberg Ln., Austin, Texas 78758
66|Civitan Neighborhood Park|513 Vargas Rd., Austin, Texas 78741
67|Colony Park District Park**|7400 Loyola Ln., Austin, Texas 78724
68|Colorado River Greenbelt|7503 Shelton Rd., Austin, Texas 78725
69|Colorado River Wildlife Sanctuary|5827 Levander Loop, Austin, Texas 78702
70|Colorado/Walnut Greenbelt|8001 Delwau Ln., Austin, Texas 78725
71|Comal Pocket Park|300 Comal St., Austin, Texas 78702
72|Commons Ford Ranch Metropolitan Park|614 N Commons Ford Rd., Austin, Texas 78733
73|Conley-Guerrero Senior Activity Center|808 Nile St., Austin, Texas 78702
74|Convict Hill Quarry Neighborhood Park|6511 Convict Hill Rd., Austin, Texas 78749
75|Cook School Park|1505 Cripple Creek Dr., Austin, Texas 78758
